area,count,total
屏東縣獅子鄉,3,2500
屏東縣琉球鄉,8,13900
屏東縣瑪家鄉,2,1200
屏東縣竹田鄉,21,26749
屏東縣萬丹鄉,86,143687
屏東縣萬巒鄉,22,32766
屏東縣車城鄉,5,2600
屏東縣里港鄉,59,86577
屏東縣長治鄉,78,114300
屏東縣高樹鄉,28,53066
屏東縣鹽埔鄉,35,28400
屏東縣麟洛鄉,15,36678
彰化市中正路,1,20000
彰化縣二林鎮,86,124700
彰化縣二水鄉,23,21200
彰化縣伸港,1,300
彰化縣伸港鄉,80,217566
彰化縣北斗鎮,93,112974
彰化縣和美鎮,266,704818
彰化縣員林,1,300
彰化縣員林市,423,855254
彰化縣埔心鄉,125,208025
彰化縣埔鹽鄉,62,98398
彰化縣埤頭,1,200
彰化縣埤頭鄉,44,191400
彰化縣大城鄉,9,15300
彰化縣大村鄉,95,150986
彰化縣延平路,1,500
彰化縣彰化,1,1000
彰化縣彰化市,751,2095018
彰化縣柳鳳村,1,1000
彰化縣永靖,1,1000
彰化縣永靖鄉,77,72961
彰化縣溪州鄉,53,65100
彰化縣溪湖鎮,154,363963
彰化縣田中鎮,88,84700
彰化縣田尾鄉,65,119815
彰化縣社頭鄉,102,93055
彰化縣福興鄉,100,153839
彰化縣秀水鄉,85,94511
彰化縣竹塘鄉,19,25400
彰化縣線西,2,700
彰化縣線西鄉,31,20700
彰化縣芬園鄉,63,58415
彰化縣花壇鄉,117,239352
彰化縣芳苑鄉,45,412150
彰化縣鹿港鎮,193,265198
忠勇路號,1,1000
新北市三峽,2,2300
新北市三峽區,395,770309
新北市三芝區,58,70380
新北市三重,4,2000
新北市三重區,1971,5003894
新北市中和,11,9200
新北市中和區,2103,5317599
新北市五股,1,300
新北市五股區,396,870676
新北市八里區,128,338550
新北市北區,2,30000
新北市北深路,1,1000
新北市土城,2,1200
新北市土城區,1056,1666780
新北市坪林區,5,4200
新北市平溪區,12,16868
新北市幸福路,1,500
新北市新店,4,5000
新北市新店區,1627,4368224
新北市新莊,5,10500
新北市新莊區,1953,5031321
新北市板橋,21,15700
新北市板橋區,2697,6061972
新北市板長安,1,800
新北市林口,2,2600
新北市林口區,789,3173292
新北市樹林,3,20300
新北市樹林區,636,1666584
新北市民樂路,1,1000
新北市永和,7,7000
新北市永和區,1161,2544495
新北市永和路,1,300
新北市汐止,3,1600
新北市汐止區,1197,2153968
新北市泰山,1,1000
新北市泰山區,305,378430
新北市淡水,1,1000
新北市淡水區,1048,2961734
新北市淡水民,1,100000
新北市深坑區,87,176434
新北市烏來區,2,11600
新北市瑞芳,1,1000
新北市瑞芳區,40,51924
新北市石碇區,12,11300
新北市石門區,5,5200
新北市莒光路,1,1000
新北市萬安街,1,2000
新北市萬里區,36,24800
新北市蘆洲區,780,2023093
新北市貢寮區,2,1300
新北市重慶路,1,1000
新北市金山區,30,32210
新北市雙溪區,10,9900
新北市鶯歌區,277,396339
新店區,1,520
新竹市中區,1,10000
新竹市北區,875,2163644
新竹市東區,2098,7718531
新竹市民享街,1,10000
新竹市竹蓮街,1,10000
新竹市關新路,1,300
新竹市香山,3,1700
新竹市香山區,426,807388
新竹縣五峰鄉,3,3000
新竹縣北埔鄉,20,27500
新竹縣寶山鄉,106,493177
新竹縣尖石鄉,9,33500
新竹縣峨眉鄉,3,12000
新竹縣新埔鎮,157,268209
新竹縣新豐,1,300
新竹縣新豐鄉,233,533002
新竹縣橫山鄉,16,17800
新竹縣湖口,2,1000
新竹縣湖口鄉,343,634908
新竹縣竹北,12,13700
新竹縣竹北市,2274,8117205
新竹縣竹東,2,1500
新竹縣竹東鎮,512,1344041
新竹縣芎林鄉,84,177105
新竹縣關西鎮,66,139900
日本三重縣鈴,1,300
日本国大阪府,2,2000
日本廣島縣東,2,15000
日本東京都港,1,1450
東京都大田区,1,9000
東京都板橋区,1,3000
東京都荒川區,1,500
東京都豊島區,1,1000
桃園市中壢,11,16500
桃園市中壢區,2117,4410489
桃園市中興路,1,1000
桃園市八德,2,1300
桃園市八德區,762,2836619
桃園市大園,5,2900
桃園市大園區,275,508672
桃園市大溪,1,500
桃園市大溪區,263,683551
桃園市平鎮,3,3520
桃園市平鎮區,904,1887617
桃園市復興區,6,3300
桃園市新屋區,104,115539
桃園市桃園,9,19800
桃園市桃園區,2216,5123403
桃園市桃園市,1,200
桃園市楊梅,5,3100
桃園市楊梅區,618,1053881
桃園市福龍路,1,1000
桃園市蘆竹,2,3500
桃園市蘆竹區,759,1596816
桃園市觀音,1,1000
桃園市觀音區,197,344405
桃園市龍潭區,468,1080190
桃園市龜山,5,4500
桃園市龜山區,887,1869266
桃園龜山區,1,30000
民族路號,3,3000
澎湖縣七美鄉,4,2600
澎湖縣湖西鄉,30,31115
澎湖縣白沙鄉,7,6500
澎湖縣西嶼鄉,10,66100
澎湖縣馬公市,139,286184
澳門南灣大馬,1,1000
熊本縣菊池市,1,1000
花蓮市中正路,1,10000
花蓮市博愛街,1,10000
花蓮市民權四,1,24121
花蓮縣光復鄉,9,14200
花蓮縣卓溪鄉,3,800
花蓮縣吉安鄉,201,514597
花蓮縣壽豐鄉,37,150766
花蓮縣富里,1,300
花蓮縣富里鄉,15,35000
花蓮縣新城鄉,38,74936
花蓮縣玉里鎮,26,34600
花蓮縣瑞穗鄉,12,13100
花蓮縣秀林鄉,12,17900
花蓮縣花蓮,1,300
花蓮縣花蓮市,337,763136
花蓮縣萬榮鄉,9,4900
花蓮縣鳳林鎮,9,5400
苗栗縣三灣鄉,11,39900
苗栗縣三義鄉,22,71800
苗栗縣中興路,1,500
苗栗縣公館鄉,107,150839
苗栗縣卓蘭鎮,20,51900
苗栗縣南庄鄉,8,8135
苗栗縣大湖鄉,18,22311
苗栗縣後龍,1,1000
苗栗縣後龍鎮,60,102670
苗栗縣泰安鄉,3,2500
苗栗縣獅潭鄉,5,3300
苗栗縣竹南,5,8276
苗栗縣竹南鎮,422,1115703
苗栗縣苑裡鎮,109,283787
苗栗縣苗栗,2,800
苗栗縣苗栗市,297,458694
苗栗縣西湖鄉,7,9000
苗栗縣通霄鎮,48,89080
苗栗縣造橋鄉,20,23088
苗栗縣銅鑼,1,1000
苗栗縣銅鑼鄉,23,26711
苗栗縣頭份市,542,1060623
苗栗縣頭屋鄉,21,35800
連江縣北竿鄉,6,9500
連江縣南竿鄉,24,18154
連江縣東引鄉,1,2000
連江縣莒光鄉,3,7000
重新路三段號,1,500
重新路四段號,1,2000
金門縣烈嶼鄉,17,88000
金門縣金城鎮,50,107599
金門縣金寧鄉,51,98684
金門縣金沙,3,1100
金門縣金沙鎮,13,7244
金門縣金湖,1,1000
金門縣金湖鎮,43,145300
雲林北港鎮公,1,20000
雲林縣二崙鄉,37,42232
雲林縣元長鄉,29,32912
雲林縣北港鎮,80,113798
雲林縣口湖,1,1000
雲林縣口湖鄉,21,48766
雲林縣古坑鄉,65,90100
雲林縣四湖鄉,18,26400
雲林縣土庫鎮,54,57424
雲林縣大埤鄉,27,49366
雲林縣崙背鄉,41,69662
雲林縣斗六,1,300
雲林縣斗六市,334,537102
雲林縣斗南鎮,108,192688
雲林縣東勢鄉,25,23800
雲林縣林內鄉,42,57344
雲林縣水林鄉,30,72400
雲林縣的斗六,1,10000
雲林縣臺西鄉,32,32596
雲林縣莿桐鄉,61,74488
雲林縣虎尾鎮,204,416714
雲林縣褒忠鄉,12,16000
雲林縣西螺,1,10000
雲林縣西螺鎮,81,120048
雲林縣麥寮鄉,64,223259
香港元朗天水,1,300
香港大坑春暉,3,4000
香港新界屯門,2,4000
香港新界葵涌,1,1000
高雄市七賢二,1,500
高雄市三民,3,2800
高雄市三民區,905,1857255
高雄市中鋼路,1,500
高雄市仁武區,255,351843
高雄市內門區,11,20100
高雄市六龜區,7,3600
高雄市前金區,93,222656
高雄市前鎮,2,2000
高雄市前鎮區,477,848418
高雄市四維二,2,40000
高雄市大寮區,199,281765
高雄市大樹區,50,131414
高雄市大社區,83,87991
高雄市小港區,334,732054
高雄市岡山區,242,699836
高雄市左營,2,3000
高雄市左營區,640,1444155
高雄市彌陀區,11,8000
高雄市新興區,166,470929
高雄市旗山區,41,73000
高雄市旗津區,18,17700
高雄市杉林區,3,3950
高雄市林園,1,300
高雄市林園區,125,162992
高雄市梓官區,53,121900
高雄市楠梓,5,2200
高雄市楠梓區,528,775305
高雄市楠梓路,1,1000
高雄市橋頭區,139,208197
高雄市永安區,12,15600
高雄市湖內區,37,42800
高雄市燕巢區,52,65200
高雄市甲仙區,3,2300
高雄市美濃區,40,34911
高雄市苓雅,1,300
高雄市苓雅區,509,1314335
高雄市茂林區,2,2000
高雄市茄萣區,30,34000
高雄市路竹區,106,190141
高雄市阿蓮區,25,41766
高雄市鳥松區,121,329477
高雄市鳳山,1,300
高雄市鳳山區,999,1457870
高雄市鹽埕區,45,565567
高雄市黃興路,1,1000
高雄市鼓山區,518,1966559
